"Data_group"	"Study"	"OTUs"	"Characters"	"Binary"	"Multistate"	"Total_States"	"Autapomorphic_Binary"	"Autapomoprhic_Multistate"	"Autapomoprhic_Multistate_States"	"Prop_Missing"	"Identicals"	"Reducibles"
"Crinoids"	"Basal_Crinoidea_Ausich_1998.nex"	"33"	"25"	"4"	"21"	"94"	"0"	"10"	"12"	"0.0921212121212121"	"0"	"0"
"Crinoids"	"Batocrinidae_Ausich_&_Kammer_2010.nex"	"19"	"21"	"10"	"10"	"57"	"0"	"5"	"8"	"0.050125313283208"	"0"	"0"
"Crinoids"	"Botryocrinindae_Gahn_&_Kammer_2002.nex"	"13"	"14"	"6"	"6"	"32"	"3"	"4"	"4"	"0.0549450549450549"	"0"	"0"
"Crinoids"	"Calceocrinidae_Harvey_&_Ausich_1998.nex"	"23"	"17"	"8"	"9"	"48"	"0"	"5"	"5"	"0.0639386189258312"	"0"	"0"
"Crinoids"	"Camerata_Ausich_1998.nex"	"28"	"27"	"12"	"15"	"99"	"1"	"10"	"26"	"0.0529100529100529"	"0"	"0"
"Crinoids"	"Cladida_Ausich_1998.nex"	"27"	"21"	"9"	"12"	"67"	"4"	"11"	"16"	"0.037037037037037"	"0"	"0"
"Crinoids"	"Crinoidea_Foote_1999.nex"	"1195"	"90"	"54"	"36"	"303"	"4"	"12"	"30"	"0.186387726638773"	"228"	"126"
"Crinoids"	"Cupulocrinidae_Brower_2001.nex"	"13"	"21"	"9"	"10"	"55"	"2"	"7"	"12"	"0.0732600732600733"	"0"	"0"
"Crinoids"	"Cyathocrinites_Kammer_&_Gahn_2003.nex"	"14"	"14"	"11"	"3"	"31"	"2"	"1"	"1"	"0.0306122448979592"	"0"	"0"
"Crinoids"	"Dicyclic_Camerata_Cole_et_al_2017.nex"	"53"	"112"	"58"	"36"	"263"	"8"	"16"	"23"	"0.192216981132075"	"0"	"0"
"Crinoids"	"Disparida_Ausich_1998.nex"	"45"	"31"	"15"	"16"	"108"	"1"	"12"	"20"	"0.0487455197132617"	"0"	"0"
"Crinoids"	"Early_to_Middle_Paleozoic_Crinoids_Wright_2017.nex"	"42"	"87"	"54"	"33"	"210"	"9"	"18"	"19"	"0.179255610290093"	"0"	"0"
"Crinoids"	"Mespilocrinus_Kammer_&_Ausich_2007.nex"	"11"	"13"	"11"	"2"	"28"	"5"	"1"	"2"	"0.0559440559440559"	"0"	"0"
"Crinoids"	"Ordovician_Camerata_Cole_2017.nex"	"52"	"112"	"58"	"36"	"263"	"8"	"17"	"24"	"0.18956043956044"	"0"	"0"
"Crinoids"	"Pereichocrinidae_Auisch_&_Kammer_2008.nex"	"23"	"32"	"27"	"5"	"73"	"3"	"2"	"2"	"0.123641304347826"	"0"	"0"
"Crinoids"	"Petalocrinidae_Mao_et_al_2017.nex"	"9"	"11"	"8"	"3"	"27"	"2"	"2"	"4"	"0"	"0"	"0"
