identified_name,collection_no,paleodb_collection_no,collection_name,lng,lat,early_interval,late_interval,ref_author,ref_pubyr,formation,stratgroup,member,zone,cc,state,direct_ma,direct_ma_error
Ibexocrinus lepton,1,,"Sec. J at Ibex, Sec. 31, T. 22 S., R. 14 W.",,,Kanoshian,Kanoshian,Lane,1970,Kanosh,Pogonip,,Zone M (Anomalorthis),US,Utah,,
Corematocrinus plumosus,2,,Chemung Narrows,,,Senecan,Senecan,Goldring,1923,Portage Shales,,Sherburne Sandstone,,US,New York,,
Corematocrinus plumosus,3,,"Deyso Basin, two miles south of Naples",,,Senecan,Senecan,Goldring,1923,Gardeau,West Falls,,,US,New York,,
Glossocrinus naplesensis,3,,"Deyso Basin, two miles south of Naples",,,Senecan,Senecan,Goldring,1923,Gardeau,West Falls,,,US,New York,,
Glossocrinus cornellianus,4,,Ithaca,,,Frasnian,Frasnian,Goldring,1923,Ithaca,Genesee,,lower Polygnathus asymmetricus,US,New York,,
Glossocrinus cornellianus,6,,"West side of Cayuga Lake, 4 miles north of Ithaca",,,Frasnian,Frasnian,Goldring,1923,Ithaca,Genesee,,lower Polygnathus asymmetricus,US,New York,,
Glossocrinus naplesensis,7,,"Italy Hollow, Naples",,,Frasnian,Frasnian,Goldring,1923,Beers Hill,West Falls,,Ancyrognathus triangularis,US,New York,,
Glossocrinus naplesensis,8,,"locality Dfn-2; Sayre, Bradford County",,,Frasnian,Frasnian,McIntosh,2001,Nunda,West Falls,,,US,Pennsylvania,,
Glossocrinus goldringae,9,,"near Nora Springs, Floyd County",,,Frasnian,Frasnian,McIntosh,2001,Shell Rock,,Mason City,middle Polygnathus asymmetricus,US,Iowa,,
Glossocrinus halli,10,,"locality Dfn-4; Sayre, Bradford County",,,Frasnian,Frasnian,McIntosh,2001,Nunda,West Falls,,,US,Pennsylvania,,
Homalocrinus parabasalis,11,165514,Dudley,,,Homerian,Homerian,Springer,1920,Much Wenlock Limestone,,,,UK,England,,
Thenarocrinus callipygus,11,165514,Dudley,,,Homerian,Homerian,Springer,1920,Much Wenlock Limestone,,,,UK,England,,
Homalocrinus liljevalli,12,,Visby,,,Sheinwoodian,Sheinwoodian,Springer,1920,Slite,,Katrinelund Limestone,,SW,Gotland,,
Homalocrinus peculiaris,13,,Visby,,,Sheinwoodian,Sheinwoodian,Springer,1920,Slite,,Conchidium tenuistriatum Beds,,SW,Gotland,,
Metabolocrinus laevigatus,14,195606,Kaugatuma cliff,22.19053,58.12036,Kaugatuma,Kaugatuma,"Ausich, Wilson & Vinn",2012,Kaugatuma,,Äigu,,ET,,,
Metabolocrinus rossicus,15,,Tallin,,,Keila,Oandu,Jaeckel,1918,Vasalemma,,,,ET,,,
Sphaerocrinus wolfgangschmidti,16,,Unnamed,,,Late Emsian,Late Emsian,Ausich & Zamora,2019,Santa Lucia,,,,ES,,,
Sphaerocrinus wolfgangschmidti,17,,Unnamed,,,Emsian,Emsian,Ausich & Zamora,2019,Moniello,,,,ES,,,
