Iteration	Posterior	Likelihood	Prior	age_extant	alpha[1]	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	branch_lengths[22]	branch_lengths[23]	branch_lengths[24]	branch_lengths[25]	branch_lengths[26]	branch_lengths[27]	branch_lengths[28]	branch_lengths[29]	branch_lengths[30]	branch_lengths[31]	branch_lengths[32]	branch_lengths[33]	branch_lengths[34]	branch_lengths[35]	branch_lengths[36]	branch_lengths[37]	branch_lengths[38]	branch_lengths[39]	branch_lengths[40]	branch_lengths[41]	branch_lengths[42]	branch_lengths[43]	branch_lengths[44]	branch_lengths[45]	branch_lengths[46]	branch_lengths[47]	branch_lengths[48]	branch_lengths[49]	branch_lengths[50]	branch_lengths[51]	branch_lengths[52]	branch_rates	completeness	divergence_dates[1]	divergence_dates[2]	divergence_dates[3]	divergence_dates[4]	divergence_dates[5]	divergence_dates[6]	divergence_dates[7]	divergence_dates[8]	divergence_dates[9]	divergence_dates[10]	divergence_dates[11]	divergence_dates[12]	divergence_dates[13]	divergence_dates[14]	divergence_dates[15]	divergence_dates[16]	divergence_dates[17]	divergence_dates[18]	divergence_dates[19]	divergence_dates[20]	divergence_dates[21]	divergence_dates[22]	divergence_dates[23]	divergence_dates[24]	divergence_dates[25]	divergence_dates[26]	divergence_dates[27]	divergence_dates[28]	divergence_dates[29]	divergence_dates[30]	divergence_dates[31]	divergence_dates[32]	divergence_dates[33]	divergence_dates[34]	divergence_dates[35]	divergence_dates[36]	divergence_dates[37]	divergence_dates[38]	divergence_dates[39]	divergence_dates[40]	divergence_dates[41]	divergence_dates[42]	divergence_dates[43]	divergence_dates[44]	divergence_dates[45]	divergence_dates[46]	divergence_dates[47]	divergence_dates[48]	divergence_dates[49]	divergence_dates[50]	divergence_dates[51]	divergence_dates[52]	diversification	extinction_rate	ind_branch_rates[1]	ind_branch_rates[2]	ind_branch_rates[3]	mean_rt	num_samp_anc	origin_dates[1]	origin_dates[2]	origin_dates[3]	origin_dates[4]	origin_dates[5]	origin_dates[6]	origin_dates[7]	origin_dates[8]	origin_dates[9]	origin_dates[10]	origin_dates[11]	origin_dates[12]	origin_dates[13]	origin_dates[14]	origin_dates[15]	origin_dates[16]	origin_dates[17]	origin_dates[18]	origin_dates[19]	origin_dates[20]	origin_dates[21]	origin_dates[22]	origin_dates[23]	origin_dates[24]	origin_dates[25]	origin_dates[26]	origin_dates[27]	origin_dates[28]	origin_dates[29]	origin_dates[30]	origin_dates[31]	origin_dates[32]	origin_dates[33]	origin_dates[34]	origin_dates[35]	origin_dates[36]	origin_dates[37]	origin_dates[38]	origin_dates[39]	origin_dates[40]	origin_dates[41]	origin_dates[42]	origin_dates[43]	origin_dates[44]	origin_dates[45]	origin_dates[46]	origin_dates[47]	origin_dates[48]	origin_dates[49]	origin_dates[50]	origin_dates[51]	origin_dates[52]	origin_time	psi	speciation_rate	summed_gaps	turnover
0	-726.705	-610.888	-115.817	0	0.724193	0	0.995436	0.186544	1.69544	1.69408	0.585602	0.599582	1.5	0.585602	0	0.813439	0.813439	1.7	0	0.337101	0	0.937101	0.5	0	0	0	1.06967	0.388729	0.990926	0	0.3	1.35933	0.62059	0.0946469	0.433398	0.186544	0.0112708	1.13482	1.46411	0.184381	0.398238	0.0902524	0.527005	0.223966	1.26068	2.1	1.19958	2.32384	0.274238	0.304382	0.675082	1.81193	0.556068	0.2	0.42249	0.623842	0.313002	0.1222665	0.5173234	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	7.72574	5.49408	5.06068	6.1	5.58873	6.59093	1.7	3.11344	2.89958	3.29782	2.6371	3.16411	3.8	5.2	1.7	5.6	6.89544	6.28654	4.3856	3.38807	7.16967	5.9	7.92384	7.3	8.34633	0.447561	0.7053204	0.122266	0.122266	0.122266	0.1222665	8	7.3	6.89544	6.28654	6.89544	5.49408	4.3856	2.89958	3.8	4.3856	3.8	3.11344	3.11344	1.7	1.7	2.6371	1.7	2.6371	1.7	5.6	5.2	5.9	7.16967	5.58873	6.59093	6.1	5.9	8.65933	8.34633	5.58873	5.49408	6.28654	5.6	7.72574	3.16411	3.29782	3.29782	3.38807	3.16411	3.38807	5.06068	7.3	2.89958	7.92384	7.16967	6.59093	5.06068	5.2	7.72574	6.1	8.34633	7.92384	8.65933	8.797018	0.7559488	1.152881	34.48638	0.6117892
10	-723.629	-615.671	-107.958	0	0.915161	0.174703	0.30186	0.445179	1.00186	0.817477	0.817477	0	1.5	1.05547	0	0.814867	1.26216	1.7	0	0.553407	0	0.948757	0.5	0	0.0231222	0.101939	0	0	0.5	0	1.05338	0.941893	0.550953	0.876878	0.0919033	0.445179	0.652624	1.35812	0.948757	0.44729	0.814867	0.0917634	0.204651	0.800513	1.14738	0.0231222	0.6	0.401939	0.72189	0.82375	0.237996	1.54608	0.108203	1.97988	0.0296869	0.507112	0.230391	0.09492768	0.716824	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.92375	5.22312	4.85547	6.1	4.94738	6.65338	1.7	3.11487	2.3	3.56216	2.64876	2.85341	3.8	5.2	1.7	5.6	6.20186	6.1	4.61748	3.65392	6.54518	6.00194	7.98182	7.4747	8.0115	0.8118271	0.5611956	0.0949277	0.0949277	0.0949277	0.09492768	8	7.4747	6.20186	6.54518	6.20186	4.61748	4.61748	2.3	3.8	4.85547	3.8	3.11487	3.56216	1.7	1.7	2.85341	1.7	2.64876	1.7	5.6	5.22312	6.00194	6.1	5.2	6.1	6.1	6.65338	8.24189	7.4747	6.1	4.94738	6.54518	5.6	8.0115	2.64876	3.56216	3.11487	3.65392	2.85341	3.65392	4.94738	5.22312	2.3	6.00194	6.92375	6.92375	4.85547	5.2	6.65338	7.98182	8.0115	7.98182	8.24189	8.411006	1.420595	1.373023	30.15447	0.40873
20	-718.9	-613.069	-105.83	0	0.81975	0.533834	0.282887	0.266787	0.982887	1.13809	0.384101	0	1.53417	0.384101	0.0341682	1.54387	0.808013	1.79444	0.0944407	1.20808	0	0.670307	0.5	0	0.34869	0.195543	0	0	0.5	0	0.5	0.704986	0.0757283	0.546853	0.373493	0.266787	0.261907	0.686967	0.670307	0.946158	0.808013	0.210302	1.13777	0.335788	0.723426	0.4	0.505559	1.69411	1.78033	0.507139	0.380499	1.49452	0.240351	1.66256	0.464	0.129382	0.0417699	0.09636144	0.6978415	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	7.75811	5.54869	4.1841	6.1	4.93809	6.60714	1.7	3.10801	2.3	3.84387	2.37031	3.50808	3.83417	5.2	1.79444	5.6	6.18289	6.1	4.55759	4.05417	6.36679	6.09554	7.29411	7.83383	7.96322	0.6417227	0.5830391	0.0963614	0.0963614	0.0963614	0.09636144	6	7.83383	6.18289	6.36679	6.18289	4.93809	4.1841	2.3	3.83417	4.1841	3.83417	3.84387	3.10801	1.79444	1.79444	3.50808	1.7	2.37031	1.7	5.6	5.54869	6.09554	6.1	5.2	6.1	6.1	6.1	8.00499	7.83383	6.09554	4.55759	6.36679	5.2	7.29411	2.37031	4.05417	3.10801	4.05417	3.50808	3.84387	4.55759	5.6	2.3	7.29411	7.96322	6.60714	4.93809	5.54869	6.60714	7.75811	7.75811	7.96322	8.00499	8.272784	1.346541	1.224762	30.75312	0.4760429
30	-725.066	-616.159	-108.907	0	0.79321	0.535668	0.366589	0.468208	0.0219906	1.43039	1.13005	0.335217	1.5	0.450439	0	0.809427	0.851403	1.7	0	0.822261	0	1.40943	0.5	0	0	0.351802	0.0446703	0.0219906	0.5	0	1.28793	0.725231	0.904188	1.97078	0.679615	0.787929	0.36961	0.660014	1.42033	0.0483875	0.516186	0.0775302	0.00193343	0.0108998	0.450439	0.92268	0.935217	0.968208	1.26746	0.0147873	0.300336	2.00021	0.942862	0.107131	0.0107338	0.00585708	0.183706	0.1427733	0.5323954	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.26659	5.2	4.25044	6.1	5.23039	7.17078	1.7	3.1514	2.63522	3.12226	3.12033	3.10943	3.8	5.22199	1.7	5.6	6.56821	6.2518	4.93005	3.19979	6.88793	6.14467	7.83079	7.83567	7.84153	0.2352697	0.9980329	0.142773	0.142773	0.142773	0.1427733	6	7.83567	6.26659	6.56821	5.22199	5.23039	4.93005	2.63522	3.8	4.25044	3.8	3.10943	3.1514	1.7	1.7	3.12226	1.7	3.10943	1.7	5.6	5.2	6.2518	6.14467	5.22199	6.1	6.1	6.88793	8.02523	7.17078	7.17078	4.93005	6.88793	5.6	7.83079	3.12033	3.19979	3.1514	3.19979	3.12226	3.12033	4.25044	6.14467	2.63522	6.56821	7.83567	6.26659	5.23039	5.2	7.83079	6.2518	7.84153	7.84153	8.02523	8.210144	1.136319	1.233303	30.81972	0.809236
40	-721.1	-618.808	-102.292	0	0.973907	0.211783	0.482526	0	1.18253	0.738897	0.279895	0	1.66209	0.279895	0.16209	1.67531	0.87462	1.7	0	0.354403	0	0.954403	0.5	0	0	0.222766	0	0.0553409	0.5	0.364772	0.856914	0.429744	0.380537	0.9	0.459002	0.0227656	0.293881	0.574049	1.46739	0.800693	0.809427	0.00722617	0.455024	0.0579661	1.34403	0.0507785	0.6	1.24531	0.751551	1.03408	0.716444	1.22469	0.0078577	0.334148	0.196341	0.666475	0.0216191	0.149782	0.5304658	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.46477	5.2	4.0799	6.1	5.30612	7.13408	1.7	3.17462	2.3	3.16739	2.6544	3.10943	3.96209	5.25534	1.7	5.6	6.38253	6.1	4.5389	3.97531	6.45691	6.12277	7.51178	6.84531	7.70812	0.1110779	1.050763	0.149782	0.149782	0.149782	0.149782	7	7.51178	6.38253	6.1	6.38253	4.5389	4.0799	2.3	3.96209	4.0799	3.96209	3.97531	3.17462	1.7	1.7	2.6544	1.7	2.6544	1.7	5.6	5.2	6.12277	6.1	5.25534	6.1	6.46477	6.45691	7.72974	6.84531	6.1	4.5389	6.12277	5.6	7.70812	3.16739	3.97531	3.10943	3.17462	3.10943	3.16739	5.30612	5.30612	2.3	6.84531	7.13408	7.13408	5.25534	5.2	6.46477	6.45691	7.70812	7.51178	7.72974	9.905099	1.187121	1.16184	27.90926	0.9043949
50	-716.424	-613.026	-103.399	0	0.782784	0.298924	0.219921	0.585744	0.919921	0.795482	0.788376	0.103412	1.5	0.788376	0	1.6068	0.764341	1.7	0	0.330427	0	0.930427	0.5	0	0.0945963	0.598894	0	0	0.5	0	0.5	0.601228	1.20407	1.2043	0.00710578	0.417953	0.4	0.659806	1.5782	0.56099	0.660928	0.213863	0.71538	0.0676031	1.28001	0.119993	0.703412	1.08574	0.819198	1.20688	0.484525	1.3878	0.421165	0.417953	0.184037	0.106847	0.0114187	0.1211209	0.5848479	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.68574	5.2946	4.58838	6.1	5.2	6.93912	1.7	3.34581	2.40341	3.06434	2.63043	3.2782	3.8	5.08001	1.7	5.6	6.11992	6.49889	4.59548	3.9068	6.51795	6.1	7.70577	7.59892	7.88981	0.4890192	0.8885338	0.121121	0.121121	0.121121	0.1211209	7	7.59892	6.11992	6.68574	6.11992	4.59548	4.58838	2.40341	3.8	4.58838	3.8	3.9068	3.06434	1.7	1.7	2.63043	1.7	2.63043	1.7	5.6	5.2946	6.49889	6.1	5.2	6.1	6.1	6.1	7.90123	7.88981	6.49889	4.59548	6.51795	5.6	7.59892	3.2782	3.9068	3.06434	3.2782	3.34581	3.34581	5.08001	5.2	2.40341	6.68574	6.93912	7.70577	5.08001	5.2946	6.93912	6.51795	7.88981	7.70577	7.90123	8.081688	1.251727	1.377553	30.04604	0.6450088
60	-725.09	-619.133	-105.956	0	0.951364	0	0.272464	0	0.0905355	0.982993	0.527136	0	1.5	0.527136	0	2.25695	0.615634	1.7	0	1.21984	0	0.653788	0.5	0	0	0	0.000865289	0.0905355	0.3	0	0.500865	0.777516	1.14027	0.9	0.842307	1.02954	0.881928	0.189869	0.653788	1.03711	0.502793	0.604203	0.449005	0.112842	0.982993	0.430556	0.6	2.22855	1.06781	0.2	0.386451	0.643048	0.888018	1.0304	0.528554	0.0597289	0.0590935	0.128834	0.6054594	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.1	5.2	4.32714	6.10087	5.29054	7.82855	1.7	3.51984	2.3	2.91563	2.35379	2.80279	3.8	5.16944	1.7	5.6	6.17246	5.9	4.78299	4.55695	7.1304	6.1	7.3	7.24027	8.01842	0.5132157	0.7070873	0.128834	0.128834	0.128834	0.128834	10	7.3	6.17246	6.1	5.29054	4.78299	4.32714	2.3	3.8	4.32714	3.8	4.55695	2.91563	1.7	1.7	3.51984	1.7	2.35379	1.7	5.6	5.2	5.9	6.10087	5.29054	5.9	6.1	6.10087	8.07752	7.24027	6.1	5.16944	7.1304	6.17246	8.01842	2.35379	4.55695	2.80279	3.51984	2.80279	2.91563	4.78299	5.6	2.3	7.82855	7.24027	6.1	5.16944	5.2	8.01842	7.1304	7.82855	7.3	8.07752	8.173026	1.085092	1.220303	29.96513	0.5794358
70	-714.117	-608.503	-105.613	0	0.909727	0.25007	0.323325	0	1.02332	1.70982	0.6755	0	1.52955	0.6755	0.0295482	0.965219	0.497265	1.83217	0.132167	0.636792	0.03711	1.23679	0.53711	0.0108543	0.249134	0	0	0	0.536597	0.0365974	0.3	0.847107	0.907002	0.650866	1.082	0.484799	0.309819	0.143556	1.52811	0.157977	0.497265	0.349182	0.835587	0.625932	1.37045	0.0533563	0.467833	1.93922	0.783677	0.2	0.0476792	1.67676	1.37526	0.448201	0.409987	1.09661	0.0434934	0.1119667	0.6341211	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.1	5.44913	4.4755	6.1	5.2	7.96006	1.73711	3.26522	2.3	3.4232	2.93679	2.79726	3.82955	5.5575	1.83217	5.61085	6.22332	5.9	5.50982	3.77238	6.5848	6.1366	7.55007	7.007	8.10361	0.2816533	0.722351	0.111967	0.111967	0.111967	0.1119667	5	7.55007	6.22332	6.1	6.22332	5.50982	4.4755	2.3	3.82955	4.4755	3.82955	3.26522	2.79726	1.83217	1.83217	2.93679	1.73711	2.93679	1.73711	5.61085	5.44913	5.9	6.1	5.2	6.1366	6.1366	5.9	8.14711	7.007	6.1	5.5575	6.5848	5.50982	8.10361	3.26522	3.4232	2.79726	3.77238	3.77238	3.4232	5.2	5.61085	2.3	7.55007	7.007	6.1	5.5575	5.44913	7.96006	6.5848	7.96006	8.10361	8.14711	8.51996	1.251939	1.004004	31.55616	0.71947
80	-718.918	-614.059	-104.859	0	0.661288	0.514123	0.2	0	1.02332	1.10601	0.243203	0	1.5	0.243203	0	0.965219	0.706708	1.7	0	0.541562	0.03711	1.14156	0.53711	0.0108543	0.353186	0.162782	0	0.0728739	0.762211	0.262211	0.462782	0.957689	0.978106	0.546814	1.22967	0.123325	0.311483	0.146008	1.52811	0.50716	0.706708	0.368443	0.562374	0.397227	1.10601	0.0264974	0.6	2.20327	0.854781	0.522016	0.67835	1.78081	1.38412	0.222588	0.154793	1.03682	0.142765	0.1507746	0.5942586	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.1	5.55319	4.0432	6.1	5.27287	7.96892	1.73711	3.26522	2.3	3.40394	2.84156	3.00671	3.8	5.58436	1.7	5.61085	6.22332	6.06278	4.90601	3.77238	6.5848	6.36221	7.81412	7.07811	8.11492	0.1995638	0.7227468	0.150775	0.150775	0.150775	0.1507746	5	7.81412	6.1	6.1	6.22332	4.90601	4.0432	2.3	3.8	4.0432	3.8	3.26522	3.00671	1.7	1.7	2.84156	1.73711	2.84156	1.73711	5.61085	5.55319	6.06278	6.1	5.27287	6.36221	6.36221	6.06278	8.25769	7.07811	6.1	5.27287	6.22332	5.58436	8.11492	3.26522	3.77238	3.00671	3.77238	3.40394	3.40394	4.90601	5.61085	2.3	7.81412	7.07811	6.5848	5.58436	5.55319	7.96892	6.5848	7.96892	8.11492	8.25769	8.452053	1.058552	0.9223106	31.62196	0.7836262
90	-714.299	-609.005	-105.295	0	0.970965	0.347479	0.323325	0.0977753	0.9	1.78436	0.204434	0	1.5	0.204434	0	0.965219	0.706708	1.7	0	0.541562	0.03711	1.14156	0.53711	0.0364905	0	0.0113679	0	0.206554	0.5	0	0.311368	0.77885	1.31701	0.997775	1.24428	0.123325	0.177803	0.0313864	1.71865	0.0231581	0.706708	0.167378	0.446816	0.258511	1.44871	0.0521336	0.6	2.32283	1.29146	0.673431	0.157841	1.74424	1.40591	0.484799	0.311839	0.13269	0.0881452	0.1228996	0.6652014	7.3	5.9	6.1	5.2	3.8	3.8	2.3	2.3	3.8	3.8	2.3	2.3	0	1.7	2.3	1.7	1.7	1.2	5.6	5.2	5.9	6.1	5.2	5.6	6.1	5.6	7.3	6.19778	5.2	4.00443	6.1	5.40655	7.95932	1.73711	3.26522	2.3	3.28838	2.84156	3.00671	3.8	5.58436	1.7	5.63649	6.22332	5.91137	5.24871	3.45576	6.5848	6.1	7.64748	7.51479	7.9907	0.1995887	0.6159024	0.1229	0.1229	0.1229	0.1228996	6	7.64748	6.22332	6.19778	6.1	5.58436	4.00443	2.3	3.8	4.00443	3.8	3.26522	3.00671	1.7	1.7	2.84156	1.73711	2.84156	1.73711	5.63649	5.2	5.91137	6.1	5.40655	6.1	6.1	5.91137	8.07885	7.51479	6.19778	5.24871	6.22332	5.58436	7.9907	3.45576	3.28838	3.00671	3.45576	3.28838	3.26522	5.24871	5.63649	2.3	7.95932	7.51479	6.5848	5.40655	5.2	7.9907	6.5848	7.95932	7.64748	8.07885	8.952987	1.223718	0.815491	30.76254	0.7552534
